PlateID,Description,Email,Plate type,Montage XY,Tile overlap,Objective,Transfection date,Transfection time,Primary channel,ICC,ICC start,Brightfield,Make Stacks,FP1 Frames,FP1 ms_per_frames (ms),FP2 Frames,FP2 ms_per_frames (ms),FP3 Frames,FP3 ms_per_frames (ms),FP4 Frames,FP4 ms_per_frames (ms),Use DMD,Pattern channel,Pattern exposure,i1,i2,i3,t1,t2,t3,control group,microscope,binning,specify_coordinates,,,,
NS26,NGN2 induced neurons,0,24w,5,10,20X,9/11/2015,10:00 AM,RFP,No,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSO,Flo,1x1,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imaging Hours Post-Transfection,Well,DNA1,[DNA1]-ng/well,DNA2,[DNA2]-ng/well,Survival marker,[Survival marker]-ng/well,Drug1,[Drug1],Units,Drug2,[Drug2],Units,FP1,Exposure (ms),FP2,Exposure (ms),FP3,Exposure (ms),FP4,Exposure (ms),Species,Cell type,Photswitch (FP),Photoswitch_exposure,Photoswitch_time,Antibody 1,Dilution,Ab1_FP,Ab1_FP_Exposure (ms),Antibody 2,Dilution,Ab2_FP,Ab2_FP_Exposure (ms),Antibody 3,Ab3_FP,Ab3_FP_Exposure (ms),Imaging Order
1 22 1/1/11,A01,NA,NA,NA,NA,mApple,100,NA,NA,NA,NA,NA,NA,GFP,50,RFP,150,DAPI,50,0,0,Rat,iPSC derived neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,A02,NA,NA,NA,NA,mApple,100,NA,NA,NA,NA,NA,NA,GFP,50,RFP,150,DAPI,50,0,0,Rat,iPSC derived neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,A03,NA,NA,NA,NA,mApple,100,NA,NA,NA,NA,NA,NA,GFP,50,RFP,150,DAPI,50,0,0,Rat,iPSC derived neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,A04,NA,NA,NA,NA,mApple,100,NA,NA,NA,NA,NA,NA,GFP,50,RFP,150,DAPI,50,0,0,Rat,iPSC derived neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,A05,NA,NA,NA,NA,mApple,100,NA,NA,NA,NA,NA,NA,GFP,50,RFP,150,DAPI,50,0,0,Rat,iPSC derived neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,A06,NA,NA,NA,NA,mApple,100,NA,NA,NA,NA,NA,NA,GFP,50,RFP,150,DAPI,50,0,0,Rat,iPSC derived neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,A07,NA,NA,NA,NA,mApple,100,NA,NA,NA,NA,NA,NA,GFP,50,RFP,150,DAPI,50,0,0,Rat,iPSC derived neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
